GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Ticket Service,com.epam.training.ticketservice.core.room.impl,RoomServiceImpl,0,113,0,2,0,25,0,9,0,8
Ticket Service,com.epam.training.ticketservice.core.screening.model,ScreeningDto.Builder,0,28,0,0,0,8,0,5,0,5
Ticket Service,com.epam.training.ticketservice.core.screening.model,ScreeningDto,41,59,6,6,6,13,8,6,2,6
Ticket Service,com.epam.training.ticketservice.core.user.model,UserDto,46,21,10,0,7,7,7,4,2,4
Ticket Service,com.epam.training.ticketservice.core.movie.impl,MovieServiceImpl,0,135,0,4,0,31,0,11,0,9
Ticket Service,com.epam.training.ticketservice.ui.command,MovieCommand,84,0,8,0,25,0,10,0,6,0
Ticket Service,com.epam.training.ticketservice.ui.command,UserCommand,82,0,10,0,25,0,11,0,6,0
Ticket Service,com.epam.training.ticketservice.ui.command,RoomCommand,112,0,10,0,34,0,12,0,7,0
Ticket Service,com.epam.training.ticketservice.ui.command,ScreeningCommand,151,0,18,0,38,0,14,0,5,0
Ticket Service,com.epam.training.ticketservice.core.room.persistance.entity,Room,46,59,7,7,8,13,11,5,4,5
Ticket Service,com.epam.training.ticketservice.core.screening.exception,ScreeningBreakException,0,4,0,0,0,2,0,1,0,1
Ticket Service,com.epam.training.ticketservice.core.screening.exception,OccupiedRoomException,0,4,0,0,0,2,0,1,0,1
Ticket Service,com.epam.training.ticketservice.core.screening.persistence.entity,Screening,40,61,7,7,9,13,11,5,4,5
Ticket Service,com.epam.training.ticketservice.core.user.persistence.entity,User,32,57,7,7,5,13,9,4,2,4
Ticket Service,com.epam.training.ticketservice.core.user.persistence.entity,User.Role,0,15,0,0,0,3,0,1,0,1
Ticket Service,com.epam.training.ticketservice.core.room.model,RoomDto,24,57,6,6,3,14,7,6,1,6
Ticket Service,com.epam.training.ticketservice.core.room.model,RoomDto.Builder,0,28,0,0,0,8,0,5,0,5
Ticket Service,com.epam.training.ticketservice.core.user.impl,UserServiceImpl,6,109,1,1,2,28,2,8,1,8
Ticket Service,com.epam.training.ticketservice,Application,8,0,0,0,3,0,2,0,2,0
Ticket Service,com.epam.training.ticketservice.core.movie.model,MovieDto,32,59,6,6,4,15,8,6,2,6
Ticket Service,com.epam.training.ticketservice.core.movie.model,MovieDto.Builder,0,28,0,0,0,8,0,5,0,5
Ticket Service,com.epam.training.ticketservice.core.configuration,InMemoryDatabaseInitializer,0,82,0,0,0,15,0,2,0,2
Ticket Service,com.epam.training.ticketservice.core.configuration,PromptConfiguration,11,0,0,0,2,0,2,0,2,0
Ticket Service,com.epam.training.ticketservice.core.screening.impl,ScreeningServiceImpl,1,208,4,14,1,45,4,11,0,6
Ticket Service,com.epam.training.ticketservice.core.movie.persistence.entity,Movie,32,78,7,7,5,19,9,8,2,8
